Date,Close,High,Low,Open,Volume
2023-09-13,1166.376708984375,1172.9163066673643,1158.0078594543213,1172.550433968217,2275523
2023-09-14,1174.0135498046875,1180.507370075577,1166.6965440575113,1171.4983290790958,2655172
2023-09-15,1193.2205810546875,1198.1595818132635,1180.8274706899997,1183.5255716537122,4286280
2023-09-18,1193.586669921875,1199.3488571257883,1179.592850511604,1190.8427925197557,2761885
2023-09-20,1182.97705078125,1192.6720620850315,1172.0929812591778,1172.0929812591778,2220756
2023-09-21,1168.891845703125,1175.2942267046287,1151.7883868300019,1174.3796008472711,3112700
2023-09-22,1164.958740234375,1174.0135572335314,1157.0929813361176,1163.8154580791443,1321467
2023-09-25,1155.583740234375,1170.7208394982813,1149.3185768214753,1161.574582939701,1246703
2023-09-26,1153.7545166015625,1160.6142091850638,1149.7759172328601,1156.0868567394098,903152
2023-09-27,1153.4344482421875,1159.4252912382137,1146.300434769507,1151.056443751294,1670373
2023-09-28,1135.873779296875,1157.9162382803804,1132.8098052614882,1153.4345496255517,1807072
2023-09-29,1129.3800048828125,1143.0078402539787,1122.474535296489,1129.6543256390548,2338327
2023-10-03,1132.9466552734375,1149.4099156260588,1118.3126460711076,1127.2760213669865,2162636
2023-10-04,1133.72412109375,1138.5259051293112,1120.4162749643158,1128.647904739564,2253785
2023-10-05,1129.9742431640625,1146.8948181162946,1122.9774460838098,1142.367465693938,2995200
2023-10-06,1132.0321044921875,1148.7697982826717,1125.0809719915421,1145.1112957403702,2497711
2023-10-09,1142.9161376953125,1158.510548974826,1126.0413398832056,1130.47725175332,3430211
2023-10-10,1154.0748291015625,1156.77293043521,1141.6358294415306,1148.358418099214,1532394
2023-10-11,1139.257568359375,1165.6444932770648,1135.0503131383862,1157.9159520009644,2186131
2023-10-12,1119.273193359375,1141.955955236657,1111.4074347184066,1138.708989362551,3921609
2023-10-13,1148.67822265625,1158.3732309208888,1105.3707262460584,1107.6115141296457,5740821
2023-10-16,1162.1690673828125,1170.0806013323477,1152.7027145373934,1155.1721590540644,2527113
2023-10-17,1168.1142578125,1169.8062930606927,1162.4892873183271,1169.7148528186426,1687345
2023-10-18,1161.0714111328125,1172.092694157145,1159.1964956615761,1168.8915045905824,1743126
2023-10-19,1159.150634765625,1165.9188859685935,1156.9098468927166,1158.6476577169228,2279726
2023-10-20,1162.1519775390625,1164.6912418011204,1150.0096549791283,1156.0577658533075,1625449
2023-10-23,1141.8837890625,1163.906107384955,1137.8671582402485,1152.3640000130297,1646367
2023-10-25,1134.820068359375,1156.8886015891205,1131.403649448233,1136.8514342985568,1420065
2023-10-26,1137.40576171875,1143.3152320156084,1119.169227457109,1121.8931203996945,4617424
2023-10-27,1171.4779052734375,1172.678329752463,1138.9291563570798,1142.2071605541705,2675348
2023-10-30,1167.83056640625,1177.1104669520969,1159.7510902599329,1172.6782520940403,1158770
